iter	Passed	Remaining
401	14601	21719
402	14637	21683
403	14670	21642
404	14706	21606
405	14741	21567
406	14779	21533
407	14821	21505
408	14860	21473
409	14897	21437
410	14929	21395
411	14962	21353
412	14998	21316
413	15031	21275
414	15067	21240
415	15102	21201
416	15136	21161
417	15170	21122
418	15205	21084
419	15236	21041
420	15273	21006
421	15308	20967
422	15343	20930
423	15377	20890
424	15411	20851
425	15443	20808
426	15475	20766
427	15508	20726
428	15542	20687
429	15577	20649
430	15611	20609
431	15641	20566
432	15674	20525
433	15708	20485
434	15747	20454
435	15788	20423
436	15828	20392
437	15864	20356
438	15895	20313
439	15931	20276
440	15961	20232
441	15995	20192
442	16030	20155
443	16057	20107
444	16095	20074
445	16129	20035
446	16165	19998
447	16200	19960
448	16233	19921
449	16265	19880
450	16297	19838
451	16332	19801
452	16368	19765
453	16403	19727
454	16437	19689
455	16468	19646
456	16512	19620
457	16557	19594
458	16589	19553
459	16623	19514
460	16658	19477
461	16691	19437
462	16723	19396
463	16758	19358
464	16791	19319
465	16828	19284
466	16862	19245
467	16895	19205
468	16929	19167
469	16964	19129
470	16997	19091
471	17032	19053
472	17067	19015
473	17099	18975
474	17135	18939
475	17168	18900
476	17201	18860
477	17236	18823
478	17266	18780
479	17299	18740
480	17330	18700
481	17372	18669
482	17404	18630
483	17438	18590
484	17468	18549
485	17501	18509
486	17541	18477
487	17576	18441
488	17608	18401
489	17642	18362
490	17675	18323
491	17704	18280
492	17738	18242
493	17770	18202
494	17804	18164
495	17836	18124
496	17868	18084
497	17900	18044
498	17934	18006
499	17973	17973
500	18010	17938
501	18044	17900
502	18075	17859
503	18107	17820
504	18139	17779
505	18171	17740
506	18201	17698
507	18237	17663
508	18270	17624
509	18304	17586
510	18336	17547
511	18372	17511
512	18404	17471
513	18437	17433
514	18481	17404
515	18514	17365
516	18553	17333
517	18585	17293
518	18624	17260
519	18667	17231
520	18705	17197
521	18742	17162
522	18779	17128
523	18815	17091
524	18859	17063
525	18894	17026
526	18926	16987
527	18961	16950
528	18993	16911
529	19028	16873
530	19063	16837
531	19098	16800
532	19133	16764
533	19166	16725
534	19203	16690
535	19237	16652
536	19280	16623
537	19312	16584
538	19345	16546
539	19379	16508
540	19416	16473
541	19447	16433
542	19487	16401
543	19524	16366
544	19560	16330
545	19593	16291
546	19628	16255
547	19664	16219
548	19701	16184
549	19732	16144
550	19766	16107
551	19796	16066
552	19828	16027
553	19862	15990
554	19895	15952
555	19930	15915
556	19960	15875
557	19996	15839
558	20028	15800
559	20062	15763
560	20094	15724
561	20127	15686
562	20161	15649
563	20197	15613
564	20228	15574
565	20261	15535
566	20299	15502
567	20335	15466
568	20368	15428
569	20401	15390
570	20435	15353
571	20465	15313
572	20499	15276
573	20533	15239
574	20565	15200
575	20602	15165
576	20633	15126
577	20669	15090
578	20700	15051
579	20730	15012
580	20764	14974
581	20798	14937
582	20830	14899
583	20863	14861
584	20895	14823
585	20930	14787
586	20964	14749
587	20999	14713
588	21030	14674
589	21064	14637
590	21095	14599
591	21129	14562
592	21164	14526
593	21198	14489
594	21228	14449
595	21264	14414
596	21298	14377
597	21334	14341
598	21365	14302
599	21396	14264
600	21430	14227
601	21466	14191
602	21501	14155
603	21534	14118
604	21572	14084
605	21605	14047
606	21637	14008
607	21682	13979
608	21721	13946
609	21754	13908
610	21792	13874
611	21832	13841
612	21865	13804
613	21900	13768
614	21936	13732
615	21970	13695
616	22001	13657
617	22037	13621
618	22072	13585
619	22106	13548
620	22138	13511
621	22175	13476
622	22208	13438
623	22243	13403
624	22279	13367
625	22311	13329
626	22344	13292
627	22376	13254
628	22410	13218
629	22442	13180
630	22477	13144
631	22512	13108
632	22547	13072
633	22582	13036
634	22617	13000
635	22647	12961
636	22680	12924
637	22714	12888
638	22749	12852
639	22782	12815
640	22815	12777
641	22851	12742
642	22884	12705
643	22920	12670
644	22957	12635
645	22990	12598
646	23025	12562
647	23054	12523
648	23087	12486
649	23120	12449
650	23154	12412
651	23197	12381
652	23235	12347
653	23273	12312
654	23307	12276
655	23341	12240
656	23376	12204
657	23412	12168
658	23450	12134
659	23483	12097
660	23518	12061
661	23547	12022
662	23579	11985
663	23613	11949
664	23644	11911
665	23679	11875
666	23713	11839
667	23745	11801
668	23778	11764
669	23813	11728
670	23847	11692
671	23879	11655
672	23915	11620
673	23948	11583
674	23977	11544
675	24008	11507
676	24043	11471
677	24078	11435
678	24122	11403
679	24157	11368
680	24188	11330
681	24222	11294
682	24256	11258
683	24290	11221
684	24321	11184
685	24358	11149
686	24388	11111
687	24426	11077
688	24460	11041
689	24496	11005
690	24530	10969
691	24561	10932
692	24598	10897
693	24631	10860
694	24666	10824
695	24715	10795
696	24750	10759
697	24783	10722
698	24814	10685
699	24848	10649
700	24883	10613
701	24917	10577
702	24946	10539
703	24978	10502
704	25013	10466
705	25044	10429
706	25079	10393
707	25113	10357
708	25147	10321
709	25182	10285
710	25221	10251
711	25254	10215
712	25290	10180
713	25323	10143
714	25358	10108
715	25397	10074
716	25430	10037
717	25461	10000
718	25495	9964
719	25531	9928
720	25563	9892
721	25598	9856
722	25629	9819
723	25661	9782
724	25700	9748
725	25732	9711
726	25767	9676
727	25802	9640
728	25838	9605
729	25875	9570
730	25907	9533
731	25938	9496
732	25975	9461
733	26011	9426
734	26043	9389
735	26076	9353
736	26110	9317
737	26146	9282
738	26203	9254
739	26239	9219
740	26270	9182
741	26304	9146
742	26340	9111
743	26373	9074
744	26411	9040
745	26441	9002
746	26474	8966
747	26513	8932
748	26545	8895
749	26579	8859
750	26616	8824
751	26654	8790
752	26688	8754
753	26725	8719
754	26760	8683
755	26798	8649
756	26830	8612
757	26863	8576
758	26897	8540
759	26929	8504
760	26961	8467
761	27000	8433
762	27035	8397
763	27068	8361
764	27101	8325
765	27131	8288
766	27162	8251
767	27196	8215
768	27229	8179
769	27262	8143
770	27296	8107
771	27332	8072
772	27362	8035
773	27394	7999
774	27430	7963
775	27461	7926
776	27496	7891
777	27531	7856
778	27563	7819
779	27597	7784
780	27633	7748
781	27665	7712
782	27699	7676
783	27733	7640
784	27765	7604
785	27799	7568
786	27834	7533
787	27866	7496
788	27900	7461
789	27938	7426
790	27971	7390
791	28005	7355
792	28039	7319
793	28073	7283
794	28106	7247
795	28139	7211
796	28173	7175
797	28209	7140
798	28241	7104
799	28274	7068
800	28311	7033
801	28353	6999
802	28388	6964
803	28420	6928
804	28453	6892
805	28488	6857
806	28525	6822
807	28564	6787
808	28596	6751
809	28631	6715
810	28665	6680
811	28702	6645
812	28736	6609
813	28781	6576
814	28816	6541
815	28853	6506
816	28889	6470
817	28925	6435
818	28959	6400
819	28992	6364
820	29026	6328
821	29058	6292
822	29092	6256
823	29124	6220
824	29160	6185
825	29193	6149
826	29225	6113
827	29258	6077
828	29292	6042
829	29327	6006
830	29363	5971
831	29395	5935
832	29428	5899
833	29462	5864
834	29502	5829
835	29537	5794
836	29573	5759
837	29607	5723
838	29644	5688
839	29681	5653
840	29715	5618
841	29751	5582
842	29790	5548
843	29827	5513
844	29864	5478
845	29901	5442
846	29936	5407
847	29971	5372
848	30006	5336
849	30041	5301
850	30073	5265
851	30108	5230
852	30142	5194
853	30178	5159
854	30213	5124
855	30248	5088
856	30279	5052
857	30315	5017
858	30349	4981
859	30383	4946
860	30418	4910
861	30451	4875
862	30482	4839
863	30517	4803
864	30551	4768
865	30581	4731
866	30616	4696
867	30651	4661
868	30682	4625
869	30716	4589
870	30748	4553
871	30791	4519
872	30826	4484
873	30861	4449
874	30896	4413
875	30930	4378
876	30961	4342
877	30994	4306
878	31025	4270
879	31061	4235
880	31094	4199
881	31128	4164
882	31168	4129
883	31209	4095
884	31245	4060
885	31281	4024
886	31315	3989
887	31348	3953
888	31382	3918
889	31412	3882
890	31445	3846
891	31478	3811
892	31508	3775
893	31538	3739
894	31575	3704
895	31615	3669
896	31666	3636
897	31711	3601
